No,Latitude,Longitude,Name,Description
1,42.438878,-71.119277,"5066","5066"
2,42.439227,-71.119689,"5067","5067"
3,42.438917,-71.116146,"5096","5096"
4,42.443904,-71.122044,"5142","5142"
5,42.447298,-71.121447,"5156","5156"
6,42.454873,-71.125094,"5224","5224"
7,42.459079,-71.124988,"5229","5229"
8,42.456979,-71.124474,"5237","5237"
9,42.454401,-71.120990,"5254","5254"
10,42.451442,-71.121746,"5258","5258"
11,42.454404,-71.120660,"5264","5264"
12,42.457761,-71.121045,"526708","526708"
13,42.457089,-71.120313,"526750","526750"
14,42.456592,-71.119676,"527614","527614"
15,42.456252,-71.119356,"527631","527631"
16,42.458148,-71.119135,"5278","5278"
17,42.459377,-71.117693,"5289","5289"
18,42.464183,-71.119828,"5374FIRE","5374FIRE"
19,42.465650,-71.119399,"5376","5376"
20,42.439018,-71.114456,"6006","600698"
21,42.438594,-71.114803,"6006BLUE","6006BLUE"
22,42.436757,-71.113223,"6014MEADOW","6014MEADOW"
23,42.441754,-71.113220,"6029","6029"
24,42.436243,-71.109075,"6053","6053"
25,42.439250,-71.107500,"6066","6066"
26,42.439764,-71.107582,"6067","6067"
27,42.434766,-71.105874,"6071","6071"
28,42.433304,-71.106599,"6073","6073"
29,42.437338,-71.104772,"6084","6084"
30,42.442196,-71.110975,"6130","6130"
31,42.442981,-71.111441,"6131","6131"
32,42.444773,-71.108882,"6153","6153"
33,42.443592,-71.106301,"6171","6171"
34,42.447804,-71.106624,"6176","6176"
35,42.448448,-71.106158,"6177","6177"
36,42.453415,-71.106783,"6272","6272"
37,42.453434,-71.107253,"6272","6272"
38,42.458298,-71.106771,"6278","6278"
39,42.451430,-71.105413,"6280","6280"
40,42.453845,-71.105206,"6283","6283"
41,42.459986,-71.106170,"6289","6289"
42,42.457616,-71.105116,"6297","6297"
43,42.467110,-71.113574,"6328","6328"
44,42.464202,-71.109863,"6354","6354"
45,42.466459,-71.110067,"635722","635722"
46,42.466557,-71.109410,"635783","635783"
47,42.463495,-71.107117,"6373","6373"
48,42.401051,-71.110241,"6634","6634"
49,42.432621,-71.106532,"6979","6979"
50,42.431033,-71.107883,"6997","6997"
51,42.465687,-71.107360,"BEAR HILL","Bear Hill Tower"
52,42.430950,-71.107628,"BELLEVUE","Bellevue Parking Lot"
53,42.438666,-71.114079,"6016","Bike Loop Connector"
54,42.456469,-71.124651,"5236BRIDGE","Bridge"
55,42.465759,-71.119815,"5376BRIDGE","Bridge"
56,42.442993,-71.105878,"6181CROSS","Crossing"
57,42.435472,-71.109664,"6042CROSS","Crossing"
58,42.458516,-71.103646,"DARKHOLLPO","Dark Hollow Pond"
59,42.443109,-71.112675,"6121DEAD","Dead End"
60,42.449866,-71.119298,"5179DEAD","Dead End"
61,42.459629,-71.116524,"5299DEAD","Dead End"
62,42.465485,-71.119148,"5376DEAD","Dead End"
63,42.462776,-71.109986,"6353DEAD","Dead End"
64,42.446793,-71.108784,"6155DEAD","Dead End"
65,42.451204,-71.126602,"GATE14","Gate 14"
66,42.458499,-71.122078,"GATE16","Gate 16"
67,42.459376,-71.119238,"GATE17","Gate 17"
68,42.466353,-71.119240,"GATE19","Gate 19"
69,42.468655,-71.107697,"GATE21","Gate 21"
70,42.456718,-71.102973,"GATE24","Gate 24"
71,42.430847,-71.107690,"GATE5","Gate 5"
72,42.431240,-71.109236,"GATE6","Gate 6"
73,42.439502,-71.106556,"6077LOGS","Log Crossing"
74,42.449765,-71.122320,"5148NANEPA","Nanepashemet Road Crossing"
75,42.457388,-71.119845,"5267OBSTAC","Obstacle"
76,42.434980,-71.109942,"PANTHRCAVE","Panther Cave"
77,42.453256,-71.121211,"5252PURPLE","Purple Rock Hill"
78,42.457734,-71.117481,"5287WATER","Reservoir"
79,42.459278,-71.124574,"5239ROAD","Road"
80,42.458782,-71.118991,"5278ROAD","Road"
81,42.439993,-71.120925,"5058ROAD","Road Crossing"
82,42.453415,-71.106782,"SHEEPFOLD","Sheepfold Parking Lot"
83,42.455956,-71.107483,"SOAPBOX","Soap Box Derby Track"
84,42.465913,-71.119328,"5376STREAM","Stream Crossing"
85,42.445359,-71.122845,"5144SUMMIT","Summit"
86,42.441727,-71.121676,"5150TANK","Water Tank"
