No,BNG-Zone,BNG-East,BNG-North,Name,Description,Symbol,Date,Time
1,NB,19424,11938,"AlineLodge","Aline Lodge","City (Small)",2008/08/23,20:56:12
2,SH,48017,62830,"Caernarfon","Caernarfon","City (Small)",2008/08/23,20:55:54
3,SW,64965,39373,"Camborne","Camborne","City (Small)",2008/08/23,20:55:39
4,SX,91542,91497,"Exeter","Exeter","City (Medium)",2008/08/23,20:55:35
5,NO,45540,49535,"Forfar","Forfar","City (Small)",2008/08/23,20:55:22
6,NT,50066,14961,"Hawick","Hawick","City (Small)",2008/08/23,20:55:25
7,NF,72432,72368,"Hosta","Hosta","City (Small)",2008/08/23,20:56:17
8,NM,40782,98797,"IsleofRhum","Isle of Rhum","City (Small)",2008/08/23,20:56:24
9,HU,47705,40923,"Lerwick","Lerwick","City (Small)",2008/08/23,20:59:39
10,ND,35358,77978,"Nethertown","Nethertown","City (Small)",2008/08/23,20:57:48
11,TG,23148, 9299,"Norwich","Norwich","City (Medium)",2008/08/23,20:55:44
12,SZ,85983,94283,"Selsey","Selsey","City (Small)",2008/08/23,20:57:02
13,SK,33737,88645,"Sheffield","Sheffield","City (Large)",2008/08/23,20:55:01
