No,Latitude,Longitude,Name,Notes
1,42.430950,-71.107628,"BELLEVUE","Bellevue Parking Lot"
2,42.431240,-71.109236,"GATE6","Gate 6"
3,42.434980,-71.109942,"PANTHRCAVE","Panther Cave"
4,42.436757,-71.113223,"6014MEADOW","6014MEADOW"
5,42.439018,-71.114456,"6006","600698"
6,42.438594,-71.114803,"6006BLUE","6006BLUE"
7,42.438917,-71.116146,"5096","5096"
8,42.438878,-71.119277,"5066","5066"
9,42.439227,-71.119689,"5067","5067"
10,42.439993,-71.120925,"5058ROAD","Road Crossing"
11,42.441727,-71.121676,"5150TANK","Water Tank"
12,42.443904,-71.122044,"5142","5142"
13,42.445359,-71.122845,"5144SUMMIT","Summit"
14,42.447298,-71.121447,"5156","5156"
15,42.449765,-71.122320,"5148NANEPA","Nanepashemet Road Crossing"
16,42.451442,-71.121746,"5258","5258"
17,42.453256,-71.121211,"5252PURPLE","Purple Rock Hill"
18,42.456252,-71.119356,"527631","527631"
19,42.456592,-71.119676,"527614","527614"
20,42.457388,-71.119845,"5267OBSTAC","Obstacle"
21,42.458148,-71.119135,"5278","5278"
22,42.459377,-71.117693,"5289","5289"
23,42.464183,-71.119828,"5374FIRE","5374FIRE"
24,42.465650,-71.119399,"5376","5376"
25,42.465913,-71.119328,"5376STREAM","Stream Crossing"
26,42.467110,-71.113574,"6328","6328"
27,42.466459,-71.110067,"635722","635722"
28,42.466557,-71.109410,"635783","635783"
29,42.463495,-71.107117,"6373","6373"
30,42.465687,-71.107360,"BEAR HILL","Bear Hill Tower"
31,42.459986,-71.106170,"6289","6289"
32,42.457616,-71.105116,"6297","6297"
33,42.453845,-71.105206,"6283","6283"
34,42.451430,-71.105413,"6280","6280"
35,42.448448,-71.106158,"6177","6177"
36,42.447804,-71.106624,"6176","6176"
37,42.444773,-71.108882,"6153","6153"
38,42.443592,-71.106301,"6171","6171"
39,42.442981,-71.111441,"6131","6131"
40,42.442196,-71.110975,"6130","6130"
41,42.441754,-71.113220,"6029","6029"
42,42.439018,-71.114456,"6006","600698"
43,42.436757,-71.113223,"6014MEADOW","6014MEADOW"
44,42.434980,-71.109942,"PANTHRCAVE","Panther Cave"
45,42.431240,-71.109236,"GATE6","Gate 6"
46,42.430950,-71.107628,"BELLEVUE","Bellevue Parking Lot"
