No,Latitude,Longitude,Name,Description,Symbol
1,59.867220,30.261330,"АВТОВО","Метро","Waypoint"
2,59.935860,30.314990,"АДМИРАЛТЕЙСКАЯ","Метро","Waypoint"
3,60.012640,30.395900,"АКАДЕМИЧЕСКАЯ","Метро","Waypoint"
4,59.907120,30.299420,"БАЛТИЙСКАЯ","Метро","Waypoint"
5,59.884000,30.369130,"БУХАРЕСТСКАЯ","Метро","Waypoint"
6,59.942550,30.278170,"ВАСИЛЕОСТРОВСКАЯ","Метро","Waypoint"
7,59.927570,30.347970,"ВЛАДИМИРСКАЯ","Метро","Waypoint"
8,59.895710,30.357010,"ВОЛКОВСКАЯ","Метро","Waypoint"
9,59.970930,30.347470,"ВЫБОРГСКАЯ","Метро","Waypoint"
10,59.956060,30.318790,"ГОРЬКОВСКАЯ","Метро","Waypoint"
11,59.934000,30.333390,"ГОСТИНЫЙ ДВОР","Метро","Waypoint"
12,60.034860,30.418140,"ГРАЖДАНСКИЙ ПРОСПЕКТ","Метро","Waypoint"
13,60.051330,30.443380,"ДЕВЯТКИНО","Метро","Waypoint"
14,59.928220,30.346220,"ДОСТОЕВСКАЯ","Метро","Waypoint"
15,59.896520,30.423600,"ЕЛИЗАРОВСКАЯ","Метро","Waypoint"
16,59.833130,30.349370,"ЗВЕЗДНАЯ","Метро","Waypoint"
17,59.922290,30.335770,"ЗВЕНИГОРОДСКАЯ","Метро","Waypoint"
18,59.879610,30.261940,"КИРОВСКИЙ ЗАВОД","Метро","Waypoint"
19,60.008390,30.258300,"КОМЕНДАНТСКИЙ ПРОСПЕКТ","Метро","Waypoint"
20,60.008610,30.259050,"КОМЕНДАНТСКИЙ ПРОСПЕКТ","Метро","Waypoint"
21,59.971670,30.259390,"КРЕСТОВСКИЙ ОСТРОВ","Метро","Waypoint"
22,59.829070,30.375320,"КУПЧИНО","Метро","Waypoint"
23,59.829950,30.374870,"КУПЧИНО","Метро","Waypoint"
24,59.932350,30.439160,"ЛАДОЖСКАЯ","Метро","Waypoint"
25,59.851890,30.269530,"ЛЕНИНСКИЙ ПРОСПЕКТ","Метро","Waypoint"
26,59.851910,30.267070,"ЛЕНИНСКИЙ ПРОСПЕКТ","Метро","Waypoint"
27,59.984740,30.344270,"ЛЕСНАЯ","Метро","Waypoint"
28,59.920600,30.354880,"ЛИГОВСКИЙ ПРОСПЕКТ","Метро","Waypoint"
29,59.877270,30.441740,"ЛОМОНОСОВСКАЯ","Метро","Waypoint"
30,59.931520,30.355010,"МАЯКОВСКАЯ","Метро","Waypoint"
31,59.870150,30.379450,"МЕЖДУНАРОДНАЯ","Метро","Waypoint"
32,59.849180,30.321060,"МОСКОВСКАЯ","Метро","Waypoint"
33,59.853290,30.320870,"МОСКОВСКАЯ","Метро","Waypoint"
34,59.853200,30.321640,"МОСКОВСКАЯ","Метро","Waypoint"
35,59.849370,30.322060,"МОСКОВСКАЯ","Метро","Waypoint"
36,59.891530,30.318090,"МОСКОВСКИЕ ВОРОТА","Метро","Waypoint"
37,59.901080,30.274850,"НАРВСКАЯ","Метро","Waypoint"
38,59.934430,30.329950,"НЕВСКИЙ ПРОСПЕКТ","Метро","Waypoint"
39,59.934940,30.330100,"НЕВСКИЙ ПРОСПЕКТ","Метро","Waypoint"
40,59.935460,30.326920,"НЕВСКИЙ ПРОСПЕКТ","Метро","Waypoint"
41,59.928720,30.412690,"НОВОЧЕРКАССКАЯ","Метро","Waypoint"
42,59.929110,30.410880,"НОВОЧЕРКАССКАЯ","Метро","Waypoint"
43,59.929390,30.412190,"НОВОЧЕРКАССКАЯ","Метро","Waypoint"
