INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
1,T,250724,173418,49.0733336N,125.7648551W,38,0.2,0
2,T,250724,173419,49.0733336N,125.7648551W,38,0.2,0
3,T,250724,173420,49.0733286N,125.7648070W,31,0.0,0
4,T,250724,173421,49.0733286N,125.7648096W,30,0.0,0
5,T,250724,173422,49.0733288N,125.7648130W,30,0.0,0
6,T,250724,173423,49.0733285N,125.7648158W,29,0.0,0
7,T,250724,173424,49.0733286N,125.7648178W,29,0.0,0
8,T,250724,173425,49.0733253N,125.7648335W,26,0.0,0
9,T,250724,173426,49.0733263N,125.7648358W,25,0.0,0
10,T,250724,173427,49.0733265N,125.7648373W,25,0.1,0
11,T,250724,173428,49.0733265N,125.7648383W,25,0.0,0
12,T,250724,173429,49.0733265N,125.7648393W,25,0.0,0
13,T,250724,173430,49.0733260N,125.7648395W,25,0.0,0
14,T,250724,173431,49.0733263N,125.7648400W,25,0.0,0
15,T,250724,173432,49.0733265N,125.7648403W,25,0.0,0
16,T,250724,173433,49.0733265N,125.7648406W,25,0.0,0
17,T,250724,173434,49.0733266N,125.7648408W,24,0.0,0
18,T,250724,173435,49.0733266N,125.7648410W,24,0.0,0
19,T,250724,173436,49.0733265N,125.7648410W,24,0.0,0
20,T,250724,173437,49.0733265N,125.7648411W,24,0.0,0
21,T,250724,173438,49.0733266N,125.7648408W,24,0.0,0
22,T,250724,173439,49.0733268N,125.7648406W,24,0.0,0
23,T,250724,173440,49.0733270N,125.7648403W,24,0.0,0
24,T,250724,173441,49.0733271N,125.7648403W,24,0.0,0
25,T,250724,173442,49.0733273N,125.7648401W,24,0.0,0
26,T,250724,173443,49.0733275N,125.7648401W,24,0.0,0
27,T,250724,173444,49.0733276N,125.7648400W,24,0.0,0
28,T,250724,173445,49.0733280N,125.7648400W,24,0.0,0
29,T,250724,173446,49.0733281N,125.7648398W,24,0.0,0
30,T,250724,173447,49.0733285N,125.7648398W,24,0.0,0
31,T,250724,173448,49.0733286N,125.7648396W,24,0.0,0
32,T,250724,173449,49.0733288N,125.7648396W,23,0.0,0
33,T,250724,173450,49.0733290N,125.7648393W,23,0.0,0
34,T,250724,173451,49.0733291N,125.7648391W,23,0.0,0
35,T,250724,173452,49.0733293N,125.7648390W,23,0.0,0
36,T,250724,173453,49.0733295N,125.7648390W,23,0.0,0
37,T,250724,173454,49.0733295N,125.7648390W,23,0.0,0
38,T,250724,173455,49.0733296N,125.7648390W,23,0.0,0
39,T,250724,173456,49.0733298N,125.7648390W,23,0.0,0
40,T,250724,173457,49.0733300N,125.7648390W,23,0.0,0
41,T,250724,173458,49.0733301N,125.7648391W,23,0.0,0
42,T,250724,173459,49.0733303N,125.7648393W,23,0.0,0
43,T,250724,173500,49.0733303N,125.7648395W,24,0.0,0
44,T,250724,173501,49.0733305N,125.7648395W,24,0.0,0
45,T,250724,173502,49.0733266N,125.7648460W,25,2.7,0
46,T,250724,173503,49.0733231N,125.7648568W,29,3.1,0
47,T,250724,173504,49.0733236N,125.7648600W,30,0.0,0
48,T,250724,173505,49.0733081N,125.7648336W,18,0.0,0
49,T,250724,173506,49.0733106N,125.7648316W,18,0.0,0
50,T,250724,173507,49.0733118N,125.7648268W,19,1.2,0
51,T,250724,173508,49.0733075N,125.7648183W,20,4.8,152
52,T,250724,173509,49.0733055N,125.7648125W,21,0.8,152
53,T,250724,173510,49.0733075N,125.7648046W,21,2.7,152
54,T,250724,173511,49.0733066N,125.7647923W,21,3.7,129
55,T,250724,173512,49.0733048N,125.7647811W,21,2.4,129
56,T,250724,173513,49.0733033N,125.7647691W,21,3.8,92
57,T,250724,173514,49.0733031N,125.7647595W,22,1.7,92
58,T,250724,173515,49.0733021N,125.7647455W,22,5.3,96
59,T,250724,173516,49.0733015N,125.7647351W,22,1.0,96
