No,Latitude,Longitude,Altitude,FIX,HDOP,Satellites,Date,Time
1,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/08,23:56:00
2,50.224600,17.174650,471.1,"3d",0.80,9,2019/03/08,23:56:01
3,50.224600,17.174633,472.7,"3d",0.80,9,2019/03/08,23:56:02
4,50.224617,17.174633,471.5,"3d",1.00,8,2019/03/08,23:56:03
5,50.224633,17.174633,468.9,"3d",0.80,9,2019/03/08,23:56:04
6,50.224600,17.174633,470.0,"3d",3.60,5,2019/03/08,23:56:05
7,50.224567,17.174667,467.8,"3d",1.00,7,2019/03/08,23:56:06
8,50.224583,17.174683,466.4,"3d",1.00,7,2019/03/08,23:56:07
9,50.224650,17.174700,469.9,"3d",3.80,5,2019/03/08,23:56:08
10,50.224683,17.174717,473.9,"3d",3.80,5,2019/03/08,23:56:09
11,50.224683,17.174667,471.8,"3d",2.20,6,2019/03/08,23:56:10
12,50.224717,17.174683,480.7,"3d",1.60,7,2019/03/08,23:56:11
13,50.224750,17.174700,490.1,"3d",5.20,6,2019/03/08,23:56:12
14,50.224783,17.174733,495.5,"3d",2.00,5,2019/03/08,23:56:13
15,50.224700,17.174700,483.8,"3d",1.40,7,2019/03/08,23:56:14
16,50.224717,17.174683,484.5,"3d",1.00,8,2019/03/08,23:56:15
17,50.224717,17.174667,481.0,"3d",0.80,9,2019/03/08,23:56:16
18,50.224717,17.174667,475.6,"3d",0.80,9,2019/03/08,23:56:17
19,50.224700,17.174667,473.2,"3d",0.80,9,2019/03/08,23:56:18
20,50.224667,17.174700,470.7,"3d",0.80,9,2019/03/08,23:56:19
21,50.224650,17.174683,470.8,"3d",0.80,8,2019/03/08,23:56:20
22,50.224667,17.174667,470.8,"3d",2.00,6,2019/03/08,23:56:21
23,50.224650,17.174650,468.6,"3d",1.60,7,2019/03/08,23:56:22
24,50.224683,17.174633,472.7,"3d",1.60,7,2019/03/08,23:56:23
25,50.224667,17.174617,469.0,"3d",1.60,7,2019/03/08,23:56:24
26,50.224633,17.174633,464.6,"3d",1.60,7,2019/03/08,23:56:25
