No,Latitude,Longitude,Altitude,FIX,HDOP,Satellites,Date,Time
1,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/08,22:00:00
2,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/08,23:00:00
3,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,00:00:00
4,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,01:00:00
5,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,02:00:00
6,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,03:00:00
7,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,04:00:00
8,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,05:00:00
9,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,06:00:00
10,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,07:00:00
11,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,08:00:00
12,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,09:00:00
13,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,10:00:00
14,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,11:00:00
15,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,12:00:00
16,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,13:00:00
17,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,14:00:00
18,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,15:00:00
19,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,16:00:00
20,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,17:00:00
21,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,18:00:00
22,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,19:00:00
23,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,20:00:00
24,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,21:00:00
25,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,22:00:00
26,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/09,23:00:00
27,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/10,00:00:00
28,50.224600,17.174617,468.8,"3d",0.80,9,2019/03/10,01:00:00
