No,Latitude,Longitude,Altitude,FIX,Satellites,Date,Time
1,53.556728,9.865573,47.5,"3d",6,2007/08/17,09:31:56.496
2,53.556728,9.865575,47.8,"3d",6,2007/08/17,09:31:56.752
3,53.556728,9.865577,47.9,"3d",6,2007/08/17,09:31:57
4,53.556728,9.865577,48.0,"3d",6,2007/08/17,09:31:57.248
5,53.556728,9.865577,48.1,"3d",6,2007/08/17,09:31:57.504
6,53.556728,9.865578,48.2,"3d",6,2007/08/17,09:31:57.752
7,53.556728,9.865577,48.3,"3d",6,2007/08/17,09:31:58.248
8,53.556728,9.865578,48.4,"3d",6,2007/08/17,09:31:58
9,53.556728,9.865578,48.4,"3d",6,2007/08/17,09:31:58.752
10,53.556728,9.865580,48.5,"3d",6,2007/08/17,09:31:59
11,53.556728,9.865578,49.6,"3d",6,2007/08/17,09:32:00.496
12,53.556728,9.865578,49.6,"3d",6,2007/08/17,09:31:59.248
13,53.556728,9.865580,49.0,"3d",6,2007/08/17,09:31:59.504
14,53.556728,9.865578,49.5,"3d",6,2007/08/17,09:32:00
15,53.556728,9.865580,49.6,"3d",6,2007/08/17,09:32:00.248
16,53.556728,9.865575,50.1,"3d",6,2007/08/17,09:32:01
17,53.556728,9.865578,49.5,"3d",6,2007/08/17,09:32:01.248
18,53.556728,9.865577,49.5,"3d",6,2007/08/17,09:32:01.504
19,53.556730,9.865577,49.6,"3d",6,2007/08/17,09:32:01.752
20,53.556728,9.865575,49.7,"3d",6,2007/08/17,09:32:02
21,53.556728,9.865575,49.8,"3d",6,2007/08/17,09:32:02.496
22,53.556728,9.865575,50.1,"3d",6,2007/08/17,09:32:02.752
23,53.556728,9.865577,50.0,"3d",6,2007/08/17,09:32:03
24,53.556728,9.865577,49.9,"3d",6,2007/08/17,09:32:03.248
25,53.556728,9.865577,49.9,"3d",6,2007/08/17,09:32:03.504
26,53.556728,9.865575,49.9,"3d",6,2007/08/17,09:32:05.752
