#airframe_info, log_version="1.00", airframe_name="Cessna T182T", unit_software_part_number="006-B0319-A3", unit_software_version="12.03", system_software_part_number="006-B0563-26", system_id="xxxxxxxxx", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2014-03-29, 22:50:22,  +00:00,       ,   40.2171326, -111.7177124,  4517.8, 29.96,  4503.9,  18.5,   0.00,   3.50,    4.27,       ,       ,       ,       ,      , 258.1,  27.9,  27.8,   8.5,   0.1,  21.27,  25.19,     4.12,  179.49,   57.96,  12.71, 1099.8,  221.62,  233.65,  235.12,  239.39,  229.09,  240.44, 1106.38, 1077.81, 1106.09, 1084.98, 1087.15, 1065.36,  874.87,  4448.0,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      , -15.7,     3D, 3704,      ,       ,      ,       
2014-03-29, 22:50:23,  +00:00,       ,   40.2171326, -111.7177353,  4517.8, 29.96,  4500.3,  18.5,   0.00,   3.46,    0.17,       ,       ,       ,       ,      , 258.1,  27.9,  27.8,   8.4,   0.0,  21.25,  25.20,     4.07,  179.49,   57.96,  12.77, 1091.2,  221.90,  233.89,  235.36,  239.57,  229.32,  240.63, 1108.96, 1079.59, 1107.76, 1083.67, 1086.04, 1064.55,  874.87,  4444.4,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,      ,       
2014-03-29, 22:50:24,  +00:00,       ,   40.2171402, -111.7177582,  4517.8, 29.96,  4499.1,  18.5,   0.00,   3.46,   -3.01,       ,       ,       ,       ,      , 258.1,  27.9,  27.8,   8.4,   0.1,  21.32,  25.20,     4.15,  179.48,   57.82,  12.85, 1084.3,  222.19,  234.11,  235.55,  239.78,  229.52,  240.86, 1108.50, 1075.54, 1111.16, 1080.74, 1087.06, 1065.73,  873.94,  4443.1,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2014-03-29, 22:50:25,  +00:00,       ,   40.2171402, -111.7177658,  4517.8, 29.96,  4504.1,  18.5,   0.00,   1.65,   -0.52,   1.58,  -1.01,   0.02,   0.01, 293.5, 257.9,  27.8,  27.8,   8.3,   0.1,  21.48,  25.20,     4.16,  179.47,   57.79,  12.86, 1083.3,  222.48,  234.36,  235.76,  239.93,  229.77,  241.09, 1109.44, 1074.15, 1113.33, 1078.61, 1087.09, 1065.45,  873.73,  4448.2,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,      ,       
2014-03-29, 22:50:26,  +00:00,       ,   40.2171555, -111.7177429,  4517.8, 29.96,  4499.6,  18.5,   0.00,   0.00,   -0.02,   1.58,  -1.03,   0.01,   0.02, 293.4, 257.9,  27.9,  27.8,   8.3,   0.0,  21.52,  25.20,     4.11,  179.47,   57.87,  12.86, 1088.4,  222.84,  234.68,  236.03,  240.18,  230.07,  241.36, 1109.87, 1073.23, 1112.57, 1077.02, 1085.75, 1065.14,  874.62,  4443.7,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 941.5,       
2014-03-29, 22:50:27,  +00:00,       ,   40.2171555, -111.7177505,  4517.8, 29.96,  4498.6,  18.5,   0.00,   0.00,   -0.00,   1.58,  -1.02,   0.01,   0.02, 293.5, 257.9,  27.9,  27.8,   8.3,   0.1,  21.40,  25.20,     4.08,  179.47,   57.92,  12.87, 1090.9,  223.13,  234.86,  236.24,  240.37,  230.24,  241.55, 1108.74, 1070.69, 1113.03, 1075.47, 1085.34, 1065.13,  874.77,  4442.7,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 932.0,       
2014-03-29, 22:50:28,  +00:00,       ,   40.2171516, -111.7177429,  4517.8, 29.96,  4479.4,  18.5,   0.00,   0.00,   -0.00,   1.56,  -1.03,   0.02,  -0.02, 293.4, 257.9,  27.9,  27.8,   8.2,   0.0,  21.33,  25.20,     4.04,  179.46,   57.88,  12.92, 1087.6,  223.33,  235.05,  236.37,  240.48,  230.44,  241.76, 1107.44, 1068.34, 1114.12, 1074.13, 1085.91, 1064.79,  872.03,  4423.4,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 506.5,       
2014-03-29, 22:50:29,  +00:00,       ,   40.2171516, -111.7177429,  4517.8, 29.96,  4479.7,  18.5,   0.00,   0.00,    0.70,   1.56,  -1.02,   0.01,  -0.01, 293.5, 257.9,  27.9,  27.8,   8.2,   0.1,  21.29,  25.20,     4.16,  179.46,   57.90,  12.90, 1089.6,  223.59,  235.27,  236.57,  240.67,  230.61,  241.95, 1108.35, 1066.99, 1111.51, 1072.84, 1086.56, 1063.84,  868.92,  4423.8,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 505.0,       
2014-03-29, 22:50:30,  +00:00,       ,   40.2171555, -111.7177429,  4517.8, 29.96,  4480.6,  18.5,   0.00,   0.00,    0.03,   1.58,  -1.02,   0.01,   0.01, 293.5, 257.9,  27.9,  27.8,   8.2,   0.1,  21.27,  25.19,     4.09,  179.46,   57.93,  12.87, 1089.6,  223.88,  235.52,  236.79,  240.83,  230.84,  242.12, 1107.60, 1062.59, 1110.24, 1072.32, 1087.35, 1063.40,  870.02,  4424.7,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 504.0,       
2014-03-29, 22:50:31,  +00:00,       ,   40.2171555, -111.7177429,  4517.8, 29.96,  4478.7,  18.5,   0.00,   0.00,   -6.07,   1.54,  -1.00,   0.00,  -0.02, 293.5, 257.9,  27.9,  27.8,   8.1,   0.0,  21.25,  25.19,     4.05,  179.45,   58.02,  12.79, 1101.1,  224.20,  235.83,  237.06,  241.05,  231.13,  242.43, 1108.29, 1061.13, 1110.09, 1070.43, 1085.96, 1063.58,  870.14,  4422.8,   0,  GPS,  133.7, 110.30, 110.30, 119.400, 125.300,       ,       ,       ,      ,       ,       ,   11.6,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 503.0,       
