Lat,Long,Distance,Altitude,Time
41.000000,-85.000000,0,100.000,1022346360000
40.968425,-85.929478,78186,97.059,1022346360294
40.929393,-86.857962,156373,94.118,1022346360588
40.882923,-87.785246,234559,91.176,1022346360882
40.829038,-88.711124,312746,88.235,1022346361176
40.767764,-89.635396,390932,85.294,1022346361471
40.699130,-90.557863,469119,82.353,1022346361765
40.623170,-91.478330,547305,79.412,1022346362059
40.539919,-92.396606,625492,76.471,1022346362353
40.449417,-93.312503,703678,73.529,1022346362647
40.351706,-94.225838,781864,70.588,1022346362941
40.246833,-95.136435,860051,67.647,1022346363235
40.134846,-96.044118,938237,64.706,1022346363529
40.015796,-96.948721,1016424,61.765,1022346363824
39.889738,-97.850081,1094610,58.824,1022346364118
39.756729,-98.748042,1172797,55.882,1022346364412
39.616828,-99.642451,1250983,52.941,1022346364706
39.470097,-100.533164,1329170,50.000,1022346365000
39.316600,-101.420042,1407356,47.059,1022346365294
39.156404,-102.302953,1485542,44.118,1022346365588
38.989576,-103.181770,1563729,41.176,1022346365882
38.816188,-104.056373,1641915,38.235,1022346366176
38.636312,-104.926648,1720102,35.294,1022346366471
38.450022,-105.792490,1798288,32.353,1022346366765
38.257393,-106.653797,1876475,29.412,1022346367059
38.058502,-107.510475,1954661,26.471,1022346367353
37.853428,-108.362438,2032847,23.529,1022346367647
37.642250,-109.209604,2111034,20.588,1022346367941
37.425049,-110.051899,2189220,17.647,1022346368235
37.201907,-110.889255,2267407,14.706,1022346368529
36.972907,-111.721610,2345593,11.765,1022346368824
36.738131,-112.548908,2423780,8.824,1022346369118
36.497665,-113.371101,2501966,5.882,1022346369412
36.251593,-114.188144,2580153,2.941,1022346369706
36.000000,-115.000000,2658339,0.000,1022346370000
