INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,PDOP,HDOP,VDOP,NSAT (USED/VIEW),SAT INFO (SID-SNR),DISTANCE,
1,T,2015/07/15,10:53:26.000,SPS,52.634804,N,1.263404,E,-64.153 m,2.081 km/h,2.32,2.09,1.00,3(7),25-00;#14-35;#31-16;29-00;#06-29;03-00;12-00,     76.99 m,
2,T,2015/07/15,10:53:36.000,SPS,52.634843,N,1.263334,E,-87.184 m,0.083 km/h,2.32,2.10,1.00,3(3),#14-35;#31-16;#06-28,     23.90 m,
3,T,2015/07/15,10:53:46.000,SPS,52.634572,N,1.265113,E,375.835 m,3.156 km/h,2.33,2.10,1.00,3(3),#14-34;#31-16;#06-28,    479.37 m,
4,T,2015/07/15,10:53:56.000,SPS,52.634437,N,1.265677,E,503.284 m,3.468 km/h,2.33,2.10,1.00,3(3),#14-34;#31-16;#06-27,    133.89 m,
5,T,2015/07/15,10:54:06.000,SPS,52.634244,N,1.266802,E,798.442 m,1.638 km/h,99.99,35.36,99.99,3(5),24-27;#14-34;#31-18;#06-29;26-00,    305.60 m,
6,T,2015/07/15,10:54:17.000,SPS,52.634762,N,1.263910,E,86.798 m,1.528 km/h,2.33,2.10,1.00,3(4),24-25;#14-34;#31-17;#06-26,    740.34 m,
7,T,2015/07/15,10:54:27.000,SPS,52.634632,N,1.264178,E,127.893 m,2.579 km/h,2.33,2.11,1.00,3(5),24-25;#14-34;#31-20;#06-25;02-23,     47.17 m,
8,T,2015/07/15,10:54:37.000,SPS,52.634636,N,1.264018,E,79.656 m,0.838 km/h,2.33,2.11,1.00,3(5),24-25;#14-34;#31-19;#06-18;02-23,     49.44 m,
9,T,2015/07/15,10:54:47.000,SPS,52.634680,N,1.263965,E,91.997 m,0.930 km/h,2.34,2.11,1.00,3(5),24-25;#14-34;#31-19;#06-18;02-22,     13.78 m,
10,T,2015/07/15,10:54:57.000,SPS,52.634750,N,1.263755,E,15.449 m,1.797 km/h,1.43,1.05,0.97,5(5),#24-24;#14-34;#31-20;#02-20;#06-17,     78.24 m,
11,T,2015/07/15,10:55:07.000,SPS,52.634770,N,1.263783,E,12.761 m,1.692 km/h,1.43,1.05,0.97,5(7),#24-26;#14-34;#31-18;#02-19;#06-16;12-00;29-00,      4.01 m,
12,T,2015/07/16,09:31:03.000,SPS,52.679560,N,1.329989,E,104.684 m,0.021 km/h,2.38,2.17,0.98,5(5),#31-31;#12-35;#14-38;#25-38;#17-36,   6702.44 m,
13,T,2015/07/16,09:31:13.000,SPS,52.679516,N,1.330065,E,94.497 m,0.132 km/h,1.59,1.33,0.88,7(10),#31-31;#12-34;#14-38;#25-38;#17-36;03-00;#24-24;#06-18;02-00;32-00,     12.42 m,
14,T,2015/07/16,09:31:23.000,SPS,52.679447,N,1.330054,E,92.124 m,0.179 km/h,1.49,1.20,0.88,8(11),#31-31;#12-33;#14-38;#25-38;#17-34;02-00;#24-22;#06-23;29-00;#32-24;03-00,      8.01 m,
15,T,2015/07/16,09:31:33.000,SPS,52.679525,N,1.330019,E,96.055 m,0.234 km/h,1.49,1.20,0.88,8(10),#31-31;#12-33;#14-38;#25-38;#17-34;02-00;#24-23;#06-21;29-00;#32-25,      9.79 m,
16,T,2015/07/16,09:31:43.000,SPS,52.679512,N,1.330015,E,95.137 m,0.162 km/h,1.49,1.20,0.88,8(10),#31-31;#12-34;#14-37;#25-38;#17-33;03-00;#24-22;#06-18;02-00;#32-25,      1.75 m,
17,T,2015/07/16,09:31:53.000,SPS,52.679512,N,1.330013,E,94.962 m,0.091 km/h,1.49,1.20,0.88,8(10),#31-32;#12-35;#14-37;#25-38;#17-33;02-00;#24-22;#06-22;29-00;#32-26,      0.19 m,
18,T,2015/07/16,09:32:03.000,SPS,52.679507,N,1.330016,E,94.849 m,0.118 km/h,1.49,1.20,0.88,8(10),#31-32;#12-35;#14-37;#25-38;#17-33;29-00;#24-22;#06-23;#32-26;03-00,      0.62 m,
19,T,2015/07/16,09:32:13.000,SPS,52.679507,N,1.330015,E,94.920 m,0.055 km/h,1.49,1.20,0.88,8(10),#31-33;#12-35;#14-37;#25-38;#17-32;03-00;#24-23;#06-24;#32-25;02-00,      0.09 m,
