INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DSTA,PDOP,HDOP,VDOP,NSAT (USED/VIEW),
1,B,2008/05/04,12:52:47.000,SPS,41.805592,N,12.679832,E,374.813 m,0.865 km/h,0,1.13,0.85,0.74,11(11),
2,T,2008/05/04,12:52:52.000,SPS,41.805626,N,12.679758,E,381.547 m,0.539 km/h,0,1.39,1.11,0.85,9(11),
3,T,2008/05/04,12:52:58.000,SPS,41.805599,N,12.679750,E,378.805 m,2.011 km/h,0,1.13,0.86,0.74,11(11),
4,T,2008/05/04,12:53:03.000,SPS,41.805634,N,12.679723,E,374.625 m,0.842 km/h,0,1.13,0.85,0.74,11(11),
5,T,2008/05/04,12:53:08.000,SPS,41.805584,N,12.679825,E,378.672 m,5.943 km/h,0,1.22,0.95,0.77,10(11),
6,S,2008/05/04,12:53:09.000,SPS,41.805557,N,12.679937,E,376.648 m,13.095 km/h,0,1.70,1.44,0.90,8(11),
7,S,2008/05/04,12:53:10.000,SPS,41.805527,N,12.679987,E,376.945 m,15.266 km/h,0,1.26,1.00,0.77,9(11),
8,S,2008/05/04,12:53:11.000,SPS,41.805508,N,12.680024,E,377.445 m,13.712 km/h,0,1.52,1.28,0.81,9(11),
9,S,2008/05/04,12:53:12.000,SPS,41.805492,N,12.680067,E,377.484 m,13.283 km/h,0,1.37,1.10,0.83,9(11),
10,S,2008/05/04,12:53:13.000,SPS,41.805489,N,12.680118,E,377.547 m,15.353 km/h,0,1.37,1.10,0.83,9(11),
11,S,2008/05/04,12:53:14.000,SPS,41.805500,N,12.680179,E,377.680 m,18.478 km/h,0,1.29,1.00,0.82,10(11),
12,S,2008/05/04,12:53:15.000,SPS,41.805515,N,12.680244,E,378.008 m,20.975 km/h,0,1.50,1.21,0.89,9(11),
13,S,2008/05/04,12:53:16.000,SPS,41.805492,N,12.680396,E,378.609 m,24.968 km/h,0,1.71,1.45,0.89,8(11),
14,S,2008/05/04,12:53:17.000,SPS,41.805519,N,12.680476,E,378.758 m,24.136 km/h,0,1.49,1.23,0.84,10(11),
15,S,2008/05/04,12:53:18.000,SPS,41.805550,N,12.680553,E,378.805 m,23.608 km/h,0,1.83,1.57,0.94,8(11),
16,S,2008/05/04,12:53:19.000,SPS,41.805576,N,12.680624,E,378.750 m,22.547 km/h,0,1.83,1.57,0.94,8(10),
17,S,2008/05/04,12:53:20.000,SPS,41.805580,N,12.680713,E,378.906 m,23.244 km/h,0,1.83,1.57,0.94,9(10),
18,S,2008/05/04,12:53:21.000,SPS,41.805588,N,12.680795,E,378.961 m,24.611 km/h,0,2.72,2.55,0.94,8(10),
19,S,2008/05/04,12:53:22.000,SPS,41.805580,N,12.680878,E,379.008 m,24.541 km/h,0,2.72,2.55,0.94,8(10),
20,S,2008/05/04,12:53:23.000,SPS,41.805561,N,12.680969,E,379.094 m,25.668 km/h,0,1.83,1.58,0.94,9(11),
21,S,2008/05/04,12:53:24.000,SPS,41.805553,N,12.681048,E,379.227 m,22.346 km/h,0,1.83,1.58,0.94,9(11),
22,S,2008/05/04,12:53:25.000,SPS,41.805557,N,12.681125,E,379.320 m,20.501 km/h,0,1.83,1.58,0.94,9(11),
23,S,2008/05/04,12:53:26.000,SPS,41.805580,N,12.681184,E,379.430 m,18.145 km/h,0,2.72,2.55,0.94,8(11),
24,S,2008/05/04,12:53:27.000,SPS,41.805630,N,12.681229,E,379.578 m,18.794 km/h,0,1.84,1.58,0.94,9(11),
25,S,2008/05/04,12:53:28.000,SPS,41.805687,N,12.681281,E,379.664 m,23.369 km/h,0,1.84,1.58,0.94,9(10),
26,S,2008/05/04,12:53:29.000,SPS,41.805752,N,12.681329,E,379.758 m,26.974 km/h,0,1.83,1.58,0.94,8(10),
27,S,2008/05/04,12:53:30.000,SPS,41.805824,N,12.681378,E,379.875 m,31.059 km/h,0,1.84,1.58,0.94,9(10),
28,S,2008/05/04,12:53:31.000,SPS,41.805908,N,12.681432,E,380.039 m,36.559 km/h,0,1.59,1.30,0.92,8(11),
29,S,2008/05/04,12:53:32.000,SPS,41.806007,N,12.681497,E,380.156 m,39.832 km/h,0,1.59,1.30,0.92,8(11),
30,S,2008/05/04,12:53:33.000,SPS,41.806103,N,12.681545,E,380.352 m,41.664 km/h,0,1.59,1.30,0.92,8(11),
31,S,2008/05/04,12:53:34.000,SPS,41.806202,N,12.681602,E,380.477 m,42.649 km/h,0,1.84,1.58,0.94,7(10),
32,S,2008/05/04,12:53:35.000,SPS,41.806297,N,12.681649,E,380.648 m,39.013 km/h,0,1.84,1.58,0.94,7(11),
33,S,2008/05/04,12:53:36.000,SPS,41.806393,N,12.681704,E,380.766 m,39.615 km/h,0,1.84,1.58,0.94,7(11),
34,S,2008/05/04,12:53:37.000,SPS,41.806515,N,12.681792,E,380.883 m,40.503 km/h,0,1.84,1.58,0.94,7(11),
35,S,2008/05/04,12:53:38.000,SPS,41.806564,N,12.681893,E,381.000 m,38.153 km/h,0,1.84,1.58,0.94,7(11),
36,S,2008/05/04,12:53:39.000,SPS,41.806625,N,12.681996,E,381.094 m,37.758 km/h,0,1.84,1.58,0.94,7(11),
37,S,2008/05/04,12:53:40.000,SPS,41.806705,N,12.682096,E,381.047 m,38.352 km/h,0,1.59,1.30,0.91,8(11),
38,S,2008/05/04,12:53:41.000,SPS,41.806770,N,12.682204,E,381.172 m,38.858 km/h,0,1.84,1.58,0.94,7(11),
39,S,2008/05/04,12:53:42.000,SPS,41.806843,N,12.682323,E,381.414 m,37.127 km/h,0,1.84,1.58,0.94,7(11),
40,S,2008/05/04,12:53:43.000,SPS,41.806870,N,12.682454,E,381.586 m,35.485 km/h,0,1.84,1.58,0.94,9(11),
41,S,2008/05/04,12:53:44.000,SPS,41.806885,N,12.682582,E,381.766 m,35.840 km/h,0,1.84,1.58,0.94,9(11),
42,S,2008/05/04,12:53:45.000,SPS,41.806892,N,12.682725,E,381.984 m,36.757 km/h,0,1.84,1.58,0.94,9(11),
43,S,2008/05/04,12:53:46.000,SPS,41.806896,N,12.682875,E,382.180 m,35.864 km/h,0,1.84,1.58,0.94,9(11),
44,S,2008/05/04,12:53:47.000,SPS,41.806908,N,12.683032,E,382.500 m,32.735 km/h,0,1.84,1.58,0.94,10(11),
