No,Latitude,Longitude,Altitude,Speed,Course,FIX,HDOP,Satellites,Date,Time
1,-42.832757,147.445532,,0.01,0.0,,,,2019/10/23,22:25:07
2,-42.832757,147.445532,30.0,0.01,0.0,"3d",0.96,9,2019/10/23,22:25:08
3,-42.832757,147.445531,30.0,0.00,0.0,"3d",0.96,9,2019/10/23,22:25:09
4,-42.832758,147.445531,30.0,0.03,0.0,"3d",0.96,8,2019/10/23,22:25:10.100
5,-42.832758,147.445530,30.0,0.01,0.0,"3d",0.86,9,2019/10/23,22:25:11.010
6,-42.832758,147.445529,30.1,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:12.001
7,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:13
8,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:14.001
9,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,00:00:00
10,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:16
11,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:17
12,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:18
13,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:19
14,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:20
15,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:21
16,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:22
17,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,00:00:00
18,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,22:25:24
19,-42.832758,147.445529,30.2,0.02,0.0,"3d",0.96,9,2019/10/23,00:00:00
