No,UTM-Zone,UTM-Ch,UTM-East,UTM-North,Name,Date,Time
3,13,T,500150,4400000,Point00,2023-01-01,00:00:00
3,13,T,500160,4400000,Point01,2023-01-01,00:00:01
3,13,T,500170,4400000,Point02,2023-01-01,00:00:02
3,13,T,500180,4400000,Point03,2023-01-01,00:00:03
3,13,T,500190,4400000,Point04,2023-01-01,00:00:04
3,13,T,500190,4400010,Point05,2023-01-01,00:00:05
3,13,T,500190,4400020,Point06,2023-01-01,00:00:06
3,13,T,500190,4400030,Point07,2023-01-01,00:00:07
3,13,T,500190,4400040,Point08,2023-01-01,00:00:08
3,13,T,500190,4400050,Point09,2023-01-01,00:00:09
3,13,T,500190,4400060,Point10,2023-01-01,00:00:10

