No,Latitude,Longitude,Date,Time
1,66.000106,-179.979157,2021/11/10,11:00:00
2,66.000098,-179.979623,2021/11/10,11:00:02
3,66.000113,-179.980580,2021/11/10,11:00:04
4,66.000126,-179.982144,2021/11/10,11:00:06
5,66.000132,-179.984051,2021/11/10,11:00:08
6,66.000151,-179.985935,2021/11/10,11:00:10
7,66.000139,-179.987910,2021/11/10,11:00:12
8,66.000098,-179.989984,2021/11/10,11:00:14
9,66.000087,-179.992037,2021/11/10,11:00:16
10,66.000122,-179.994058,2021/11/10,11:00:18
11,66.000148,-179.996071,2021/11/10,11:00:20
12,66.000120,-179.998003,2021/11/10,11:00:22
13,66.000096,-179.999865,2021/11/10,11:00:24
14,66.000117,179.998134,2021/11/10,11:00:26
15,66.000134,179.995989,2021/11/10,11:00:28
16,66.000118,179.993927,2021/11/10,11:00:30
17,66.000091,179.992061,2021/11/10,11:00:32
18,66.000079,179.990085,2021/11/10,11:00:34
19,66.000076,179.987981,2021/11/10,11:00:36
20,66.000099,179.986078,2021/11/10,11:00:38
21,66.000137,179.984286,2021/11/10,11:00:40
22,66.000138,179.982762,2021/11/10,11:00:42
23,66.000115,179.981959,2021/11/10,11:00:44
24,66.000110,179.981758,2021/11/10,11:00:46
