No,Latitude,Longitude,Date,Time
1,66.000103,-179.979040,2021/11/10,11:00:00
2,66.000146,-179.979035,2021/11/10,11:00:00.500
3,66.000188,-179.979030,2021/11/10,11:00:01
4,66.000106,-179.979250,2021/11/10,11:00:01.500
5,66.000023,-179.979470,2021/11/10,11:00:02
6,66.000034,-179.979775,2021/11/10,11:00:02.500
7,66.000045,-179.980080,2021/11/10,11:00:03
8,66.000111,-179.980280,2021/11/10,11:00:03.500
9,66.000177,-179.980480,2021/11/10,11:00:04
10,66.000143,-179.980575,2021/11/10,11:00:04.500
11,66.000109,-179.980670,2021/11/10,11:00:05
12,66.000138,-179.981320,2021/11/10,11:00:05.500
13,66.000167,-179.981970,2021/11/10,11:00:06
14,66.000121,-179.982585,2021/11/10,11:00:06.500
15,66.000075,-179.983200,2021/11/10,11:00:07
16,66.000105,-179.983745,2021/11/10,11:00:07.500
17,66.000134,-179.984290,2021/11/10,11:00:08
18,66.000128,-179.984740,2021/11/10,11:00:08.500
19,66.000121,-179.985190,2021/11/10,11:00:09
20,66.000159,-179.985385,2021/11/10,11:00:09.500
21,66.000197,-179.985580,2021/11/10,11:00:10
22,66.000177,-179.986145,2021/11/10,11:00:10.500
23,66.000158,-179.986710,2021/11/10,11:00:11
24,66.000148,-179.987380,2021/11/10,11:00:11.500
25,66.000138,-179.988050,2021/11/10,11:00:12
26,66.000154,-179.988555,2021/11/10,11:00:12.500
27,66.000171,-179.989060,2021/11/10,11:00:13
28,66.000111,-179.989380,2021/11/10,11:00:13.500
29,66.000050,-179.989700,2021/11/10,11:00:14
30,66.000058,-179.990500,2021/11/10,11:00:14.500
31,66.000066,-179.991300,2021/11/10,11:00:15
32,66.000056,-179.991565,2021/11/10,11:00:15.500
33,66.000046,-179.991830,2021/11/10,11:00:16
34,66.000089,-179.992615,2021/11/10,11:00:16.500
35,66.000131,-179.993400,2021/11/10,11:00:17
36,66.000110,-179.993620,2021/11/10,11:00:17.500
37,66.000088,-179.993840,2021/11/10,11:00:18
38,66.000127,-179.994440,2021/11/10,11:00:18.500
39,66.000165,-179.995040,2021/11/10,11:00:19
40,66.000180,-179.995500,2021/11/10,11:00:19.500
41,66.000196,-179.995960,2021/11/10,11:00:20
42,66.000177,-179.996665,2021/11/10,11:00:20.500
43,66.000158,-179.997370,2021/11/10,11:00:21
44,66.000130,-179.997675,2021/11/10,11:00:21.500
45,66.000103,-179.997980,2021/11/10,11:00:22
46,66.000104,-179.998505,2021/11/10,11:00:22.500
47,66.000106,-179.999030,2021/11/10,11:00:23
48,66.000082,-179.999295,2021/11/10,11:00:23.500
49,66.000057,-179.999560,2021/11/10,11:00:24
50,66.000050,179.999795,2021/11/10,11:00:24.500
51,66.000042,179.999150,2021/11/10,11:00:25
52,66.000096,179.998730,2021/11/10,11:00:25.500
53,66.000150,179.998310,2021/11/10,11:00:26
54,66.000172,179.997530,2021/11/10,11:00:26.500
55,66.000193,179.996750,2021/11/10,11:00:27
56,66.000160,179.996480,2021/11/10,11:00:27.500
57,66.000128,179.996210,2021/11/10,11:00:28
58,66.000110,179.995570,2021/11/10,11:00:28.500
59,66.000091,179.994930,2021/11/10,11:00:29
60,66.000141,179.994275,2021/11/10,11:00:29.500
61,66.000191,179.993620,2021/11/10,11:00:30
62,66.000124,179.993275,2021/11/10,11:00:30.500
63,66.000057,179.992930,2021/11/10,11:00:31
64,66.000077,179.992520,2021/11/10,11:00:31.500
65,66.000098,179.992110,2021/11/10,11:00:32
66,66.000069,179.991745,2021/11/10,11:00:32.500
67,66.000040,179.991380,2021/11/10,11:00:33
68,66.000077,179.990915,2021/11/10,11:00:33.500
69,66.000114,179.990450,2021/11/10,11:00:34
70,66.000096,179.989495,2021/11/10,11:00:34.500
71,66.000077,179.988540,2021/11/10,11:00:35
72,66.000045,179.988185,2021/11/10,11:00:35.500
73,66.000013,179.987830,2021/11/10,11:00:36
74,66.000095,179.987410,2021/11/10,11:00:36.500
75,66.000176,179.986990,2021/11/10,11:00:37
76,66.000098,179.986525,2021/11/10,11:00:37.500
77,66.000021,179.986060,2021/11/10,11:00:38
78,66.000057,179.985720,2021/11/10,11:00:38.500
79,66.000093,179.985380,2021/11/10,11:00:39
80,66.000146,179.984835,2021/11/10,11:00:39.500
81,66.000199,179.984290,2021/11/10,11:00:40
82,66.000192,179.983700,2021/11/10,11:00:40.500
83,66.000184,179.983110,2021/11/10,11:00:41
84,66.000153,179.982810,2021/11/10,11:00:41.500
85,66.000122,179.982510,2021/11/10,11:00:42
86,66.000112,179.982165,2021/11/10,11:00:42.500
87,66.000102,179.981820,2021/11/10,11:00:43
88,66.000124,179.981825,2021/11/10,11:00:43.500
89,66.000147,179.981830,2021/11/10,11:00:44
90,66.000109,179.981790,2021/11/10,11:00:44.500
91,66.000071,179.981750,2021/11/10,11:00:45
92,66.000072,179.981765,2021/11/10,11:00:45.500
93,66.000073,179.981780,2021/11/10,11:00:46
94,66.000120,179.981700,2021/11/10,11:00:46.500
95,66.000167,179.981620,2021/11/10,11:00:47
