Lat,Long,Distance,Altitude,Time
41.000000,-85.000000,0,100.000,1022346360000
40.862258,-88.155777,265834,90.000,1022346361000
40.638946,-91.294406,531668,80.000,1022346362000
40.331303,-94.408182,797502,70.000,1022346363000
39.940999,-97.489937,1063336,60.000,1022346364000
39.470097,-100.533164,1329170,50.000,1022346365000
38.921004,-103.532123,1595003,40.000,1022346366000
38.296422,-106.481903,1860837,30.000,1022346367000
37.599289,-109.378455,2126671,20.000,1022346368000
36.832729,-112.218599,2392505,10.000,1022346369000
36.000000,-115.000000,2658339,0.000,1022346370000
