No,UTM-Zone,UTM-Ch,UTM-East,UTM-North,Name,Date,Time
1,13,T,500000,4400000,Point01,2023-01-01,00:00:00
2,13,T,500050,4400000,Point02,2023-01-01,00:00:10
3,13,T,500100,4400000,Point03,2023-01-01,00:00:20
4,13,T,500150,4400000,Point04,2023-01-01,00:00:30
5,13,T,500200,4400000,Point05,2023-01-01,00:00:40
6,13,T,500250,4400000,Point06,2023-01-01,00:00:50
7,13,T,500300,4400000,Point07,2023-01-01,00:01:00
8,13,T,500350,4400000,Point08,2023-01-01,00:01:10
9,13,T,500400,4400000,Point09,2023-01-01,00:01:20
10,13,T,500450,4400000,Point10,2023-01-01,00:01:30
11,13,T,500450.2,4400000,Point11,2023-01-01,00:01:40
12,13,T,500450.4,4400000,Point12,2023-01-01,00:01:50
13,13,T,500450.6,4400000,Point13,2023-01-01,00:02:00
14,13,T,500500,4400000,Point14,2023-01-01,00:02:10
15,13,T,500550,4400000,Point15,2023-01-01,00:02:20
16,13,T,500600,4400000,Point16,2023-01-01,00:02:30
17,13,T,500650,4400000,Point17,2023-01-01,00:02:40
18,13,T,500700,4400000,Point18,2023-01-01,00:02:50
19,13,T,500750,4400000,Point19,2023-01-01,00:03:00
20,13,T,500800,4400000,Point20,2023-01-01,00:03:10
21,13,T,500850,4400000,Point21,2023-01-01,00:03:20
22,13,T,500900,4400000,Point22,2023-01-01,00:03:30
23,13,T,500950,4400000,Point23,2023-01-01,00:03:40
24,13,T,510000,4400000,Point24,2023-01-01,01:00:00
25,13,T,510050,4400000,Point25,2023-01-01,01:00:10
26,13,T,510100,4400000,Point26,2023-01-01,01:00:20
27,13,T,510150,4400000,Point27,2023-01-01,01:00:30
28,13,T,510200,4400000,Point28,2023-01-01,01:00:40
29,13,T,510250,4400000,Point29,2023-01-01,01:00:50
30,13,T,510300,4400000,Point30,2023-01-01,01:01:00
31,13,T,510350,4400000,Point31,2023-01-01,01:01:10
32,13,T,510400,4400000,Point32,2023-01-01,01:01:20
33,13,T,510450,4400000,Point33,2023-01-01,01:01:30
34,13,T,510500,4400000,Point34,2023-01-01,01:01:40
35,13,T,510550,4400000,Point35,2023-01-01,01:01:50
36,13,T,510600,4400000,Point36,2023-01-01,01:02:00
37,13,T,510650,4400000,Point37,2023-01-01,01:02:10
38,13,T,510700,4400000,Point38,2023-01-01,01:02:20
39,13,T,510750,4400000,Point39,2023-01-01,01:02:30
40,13,T,510800,4400000,Point40,2023-01-01,01:02:40
41,13,T,510850,4400000,Point41,2023-01-01,01:02:50
42,13,T,510900,4400000,Point42,2023-01-01,01:03:00
43,13,T,510950,4400000,Point43,2023-01-01,01:03:10

