INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,HEADING,NSAT (USED/VIEW),DISTANCE,
1,T,2008/01/27,13:03:22.836,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(7),      0.00 m,
2,B,2008/01/27,13:03:24.836,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
3,T,2008/01/27,14:13:51.012,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(0),      0.00 m,
4,T,2008/01/27,14:13:56.812,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(5),      0.00 m,
5,T,2008/01/27,14:14:01.812,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
6,T,2008/01/27,14:14:07.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
7,T,2008/01/27,14:14:12.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
8,T,2008/01/27,14:14:17.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
9,T,2008/01/27,14:14:22.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(10),      0.00 m,
10,T,2008/01/27,14:14:27.532,No fix,57.719581,N,12.016372,E,98.470 m,0.000 km/h,0.000000,0(9),      0.00 m,
11,D,2008/01/27,14:14:28.531,No fix,57.705089,N,11.996373,E,98.409 m,2.142 km/h,0.000000,2(9),   2006.55 m,
12,T,2008/01/27,14:14:34.000,No fix,57.704939,N,11.996336,E,98.469 m,1.093 km/h,0.000000,2(9),     16.80 m,
13,D,2008/01/27,14:14:35.000,SPS,57.707240,N,11.967281,E,22.480 m,4.329 km/h,0.000000,6(9),   1752.68 m,
14,T,2008/01/27,14:14:40.000,SPS,57.707220,N,11.967151,E,32.486 m,3.883 km/h,0.000000,6(9),     12.87 m,
15,T,2008/01/27,14:14:45.000,SPS,57.707209,N,11.967053,E,34.286 m,3.788 km/h,0.000000,8(9),      6.24 m,
16,T,2008/01/27,14:14:50.000,SPS,57.707201,N,11.966970,E,33.626 m,3.570 km/h,0.000000,8(9),      5.06 m,
17,T,2008/01/27,14:14:55.000,SPS,57.707198,N,11.966948,E,34.133 m,1.588 km/h,0.000000,8(9),      1.44 m,
18,T,2008/01/27,14:15:00.000,SPS,57.707199,N,11.966980,E,34.461 m,2.094 km/h,0.000000,8(9),      1.98 m,
19,T,2008/01/27,14:15:05.000,SPS,57.707202,N,11.966988,E,34.240 m,0.301 km/h,0.000000,9(9),      0.63 m,
20,B,2008/01/27,14:15:09.000,SPS,57.707192,N,11.967000,E,34.320 m,1.198 km/h,0.000000,8(9),      1.35 m,
21,T,2008/01/27,14:15:14.000,SPS,57.707180,N,11.967054,E,34.183 m,1.906 km/h,0.000000,8(9),      3.51 m,
22,T,2008/01/27,14:15:19.000,SPS,57.707141,N,11.967152,E,34.389 m,4.819 km/h,0.000000,9(9),      7.29 m,
23,T,2008/01/27,14:15:24.000,SPS,57.707082,N,11.967244,E,34.793 m,5.849 km/h,0.000000,9(9),      8.58 m,
24,T,2008/01/27,14:15:29.000,SPS,57.707028,N,11.967342,E,35.034 m,5.930 km/h,0.000000,9(9),      8.39 m,
25,T,2008/01/27,14:15:34.000,SPS,57.706993,N,11.967462,E,35.394 m,4.971 km/h,0.000000,9(9),      8.13 m,
26,T,2008/01/27,14:15:39.000,SPS,57.706920,N,11.967556,E,34.952 m,6.284 km/h,145.024078,9(9),      9.85 m,
27,T,2008/01/27,14:15:44.000,SPS,57.706865,N,11.967651,E,36.921 m,6.656 km/h,142.223740,8(9),      8.65 m,
28,T,2008/01/27,14:15:49.000,SPS,57.706812,N,11.967756,E,36.359 m,5.452 km/h,144.998688,8(9),      8.56 m,
29,T,2008/01/27,14:15:54.000,SPS,57.706746,N,11.967810,E,35.562 m,4.889 km/h,144.998688,9(9),      8.04 m,
30,T,2008/01/27,14:15:59.000,SPS,57.706677,N,11.967837,E,35.367 m,4.960 km/h,144.998688,9(9),      7.91 m,
31,T,2008/01/27,14:16:04.000,SPS,57.706618,N,11.967878,E,35.278 m,5.648 km/h,144.998688,9(9),      6.99 m,
32,T,2008/01/27,14:16:09.000,SPS,57.706547,N,11.967903,E,34.554 m,5.879 km/h,144.998688,9(9),      8.03 m,
