No,Latitude,Longitude,Speed,Course,Date,Time
1,22.748090,113.816080,0.0,360.0,2008/07/09,04:18:03
2,22.748028,113.816261,0.0,360.0,2008/07/09,04:18:05
3,22.748093,113.816350,0.8,53.0,2008/07/09,04:18:06
4,22.748178,113.816315,0.8,21.0,2008/07/09,04:18:07
5,22.748330,113.816513,0.0,21.0,2008/07/09,04:18:08
6,22.748326,113.816521,0.0,21.0,2008/07/09,04:18:09
7,22.748738,113.816435,5.0,357.0,2008/07/09,04:18:24
8,22.748790,113.816446,6.4,2.0,2008/07/09,04:18:25
9,22.748936,113.816465,5.6,10.0,2008/07/09,04:18:28
10,22.749041,113.816601,5.6,72.0,2008/07/09,04:18:32
11,22.749036,113.816675,6.4,92.0,2008/07/09,04:18:33
12,22.749020,113.816763,8.1,101.0,2008/07/09,04:18:34
13,22.748941,113.816945,10.3,110.0,2008/07/09,04:18:36
14,22.748788,113.817263,13.1,116.0,2008/07/09,04:18:39
15,22.748731,113.817383,13.9,117.0,2008/07/09,04:18:40
16,22.748663,113.817510,14.7,117.0,2008/07/09,04:18:41
17,22.748528,113.817780,15.8,117.0,2008/07/09,04:18:43
18,22.748255,113.818361,16.9,117.0,2008/07/09,04:18:47
19,22.748096,113.818658,17.2,118.0,2008/07/09,04:18:49
20,22.748013,113.818805,17.2,119.0,2008/07/09,04:18:50
21,22.747933,113.818948,16.9,119.0,2008/07/09,04:18:51
22,22.747858,113.819091,16.7,119.0,2008/07/09,04:18:52
23,22.747771,113.819230,16.7,120.0,2008/07/09,04:18:53
24,22.747700,113.819366,16.1,119.0,2008/07/09,04:18:54
25,22.747633,113.819501,15.8,119.0,2008/07/09,04:18:55
26,22.747550,113.819631,15.6,120.0,2008/07/09,04:18:56
27,22.747415,113.819886,14.7,117.0,2008/07/09,04:18:58
28,22.746871,113.820328,10.6,131.0,2008/07/09,04:19:04
29,22.746428,113.820538,10.8,160.0,2008/07/09,04:19:09
30,22.746326,113.820556,11.1,166.0,2008/07/09,04:19:10
31,22.745981,113.820553,13.1,175.0,2008/07/09,04:19:13
32,22.745726,113.820503,14.2,182.0,2008/07/09,04:19:15
33,22.745165,113.820488,16.4,184.0,2008/07/09,04:19:19
34,22.745015,113.820455,16.7,186.0,2008/07/09,04:19:20
35,22.744861,113.820435,16.9,185.0,2008/07/09,04:19:21
36,22.744708,113.820391,16.9,186.0,2008/07/09,04:19:22
37,22.744551,113.820365,17.2,186.0,2008/07/09,04:19:23
38,22.744065,113.820351,17.8,185.0,2008/07/09,04:19:26
39,22.743901,113.820341,17.8,185.0,2008/07/09,04:19:27
