# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2004-06-05
N 47.7111183	W 91.0121750	( linksys )	BSS	( 0f:06:25:77:0d:1f )	01:22:09 (GMT)	[ 24 73 49 ]	# (  )	0001	00000040	100	110	6
N 47.7108850	W 91.0120617	( default )	BSS	( 0f:05:5d:fa:f3:34 )	01:22:18 (GMT)	[ 26 75 49 ]	# (  )	0401	00000040	100	0	6
N 47.7096033	W 91.0143300	(  )	BSS	( 0f:40:96:44:c0:cc )	01:24:16 (GMT)	[ 16 65 49 ]	# (  )	0011	00000040	100	110	6
N 47.7088850	W 91.0146683	( msu88 )	BSS	( 0f:0c:41:bc:2a:8c )	01:24:31 (GMT)	[ 36 85 49 ]	# (  )	0005	00000040	100	110	6
N 47.7077150	W 91.0151333	( linksys )	BSS	( 0f:06:25:a4:77:2e )	01:24:53 (GMT)	[ 25 74 49 ]	# (  )	0001	00000040	100	110	6
N 47.7072867	W 91.0152633	( default )	BSS	( 0f:0d:88:8d:16:4f )	01:25:04 (GMT)	[ 32 81 49 ]	# (  )	0421	00000040	100	540	6
N 47.7069517	W 91.0153133	( silicon )	BSS	( 0f:30:bd:c1:3b:16 )	01:25:10 (GMT)	[ 29 78 49 ]	# (  )	0011	00000040	100	110	6
N 47.7066100	W 91.0153683	( purnet )	BSS	( 0f:0c:41:ab:45:66 )	01:25:19 (GMT)	[ 20 69 49 ]	# (  )	0401	00000040	100	540	6
N 47.7066783	W 91.0157867	( Harvey )	BSS	( 0f:0d:88:1e:a5:6e )	01:25:30 (GMT)	[ 13 62 49 ]	# (  )	0001	00000100	100	110	8
N 47.7066550	W 91.0136367	( X6604 )	BSS	( 0f:a0:c5:69:65:10 )	01:26:19 (GMT)	[ 17 66 49 ]	# (  )	0001	00000040	100	110	6
N 47.7067600	W 91.0133900	( Scott )	BSS	( 0f:0d:93:88:3f:c1 )	01:26:39 (GMT)	[ 17 66 49 ]	# (  )	0411	00000400	100	540	10
N 47.7070583	W 91.0128933	( NETGEAR )	BSS	( 0f:09:5b:6e:59:90 )	01:26:44 (GMT)	[ 25 74 49 ]	# (  )	0005	00000800	100	110	11
N 47.7069967	W 91.0129867	(  )	BSS	( 00:05:5d:fb:02:bf )	01:26:49 (GMT)	[ 15 64 49 ]	# (  )	0411	00000020	100	540	5
N 47.7062300	W 91.0118067	( cones )	BSS	( 0f:40:96:25:a2:b1 )	01:38:14 (GMT)	[ 15 64 49 ]	# (  )	0001	00000040	100	20	6
N 47.7028750	W 91.0082767	( default )	BSS	( 0f:0f:3d:00:d2:3f )	01:39:23 (GMT)	[ 25 74 49 ]	# (  )	0421	00000040	100	540	6
N 47.7118350	W 91.0108833	( McKee )	BSS	( 0f:0c:41:74:6b:96 )	01:49:38 (GMT)	[ 15 64 49 ]	# (  )	0431	00000008	100	540	3
N 47.7117300	W 91.0109350	( airport )	BSS	( 0f:0a:95:f2:aa:0e )	02:22:33 (GMT)	[ 16 65 49 ]	# (  )	0011	00000400	100	540	10
N 47.7116383	W 91.0109933	( merv )	BSS	( 0f:06:25:f0:e0:85 )	02:22:36 (GMT)	[ 26 75 49 ]	# (  )	0005	00000040	100	110	6
N 47.7109717	W 91.0113083	( home network )	BSS	( 0f:0f:66:2d:d0:bf )	02:22:45 (GMT)	[ 16 65 49 ]	# (  )	0001	00000040	100	540	6
N 47.7108867	W 91.0113450	(   )	BSS	( 0f:02:2d:2b:81:cf )	02:22:55 (GMT)	[ 13 62 49 ]	# (  )	0011	00000002	100	110	1
N 47.7107717	W 91.0115567	( wifi )	BSS	( 0f:40:96:43:5b:9d )	02:23:02 (GMT)	[ 15 64 49 ]	# (  )	0001	00000040	100	20	6
