No,Latitude,Longitude,Altitude,Heartrate,Date,Time
1,34.173898,-118.758793,308.7,107,2008/08/21,13:08:52
2,34.174030,-118.758838,310.6,107,2008/08/21,13:08:54
3,34.174165,-118.758884,308.7,106,2008/08/21,13:08:56
4,34.174233,-118.758907,307.8,106,2008/08/21,13:08:57
5,34.175061,-118.759182,307.8,106,2008/08/21,13:09:09
6,34.175652,-118.759385,310.2,108,2008/08/21,13:09:18
7,34.176122,-118.759540,312.6,113,2008/08/21,13:09:26
8,34.176626,-118.759695,315.0,120,2008/08/21,13:09:35
9,34.176736,-118.759725,315.4,120,2008/08/21,13:09:37
10,34.177111,-118.759845,318.3,126,2008/08/21,13:09:44
11,34.177164,-118.759864,318.8,125,2008/08/21,13:09:45
12,34.177586,-118.760000,321.2,130,2008/08/21,13:09:53
13,34.177637,-118.760017,321.2,130,2008/08/21,13:09:54
14,34.178156,-118.760189,322.7,131,2008/08/21,13:10:04
15,34.178713,-118.760374,325.1,130,2008/08/21,13:10:15
16,34.179210,-118.760575,326.0,131,2008/08/21,13:10:25
17,34.179680,-118.760864,327.0,130,2008/08/21,13:10:35
18,34.180107,-118.761241,328.4,128,2008/08/21,13:10:45
19,34.180421,-118.761616,329.9,127,2008/08/21,13:10:53
20,34.180760,-118.762144,331.8,128,2008/08/21,13:11:03
21,34.180900,-118.762434,331.8,127,2008/08/21,13:11:08
22,34.181055,-118.762801,332.3,126,2008/08/21,13:11:14
23,34.181199,-118.763347,333.2,124,2008/08/21,13:11:22
24,34.181269,-118.763780,332.3,118,2008/08/21,13:11:28
25,34.181300,-118.764315,331.3,116,2008/08/21,13:11:35
26,34.181305,-118.764923,330.8,112,2008/08/21,13:11:42
27,34.181316,-118.765301,329.4,111,2008/08/21,13:11:46
28,34.181319,-118.765921,327.5,109,2008/08/21,13:11:52
29,34.181323,-118.766884,324.6,105,2008/08/21,13:12:01
30,34.181324,-118.767332,322.7,104,2008/08/21,13:12:05
31,34.181324,-118.767887,321.2,102,2008/08/21,13:12:10
32,34.181332,-118.768567,321.2,103,2008/08/21,13:12:16
