Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	WPT001		User Waypoint	N56 09.098 E13 45.642	54 m				Symbol & Name	Unknown	Waypoint					07/03/2006 15:58:36 		
Waypoint	WPT002		User Waypoint	N56 09.101 E13 45.642	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 15:58:38 		
Waypoint	WPT003		User Waypoint	N56 09.080 E13 45.630	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 15:59:00 		
Waypoint	WPT004		User Waypoint	N56 09.056 E13 45.619	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 15:59:29 		
Waypoint	WPT005		User Waypoint	N56 09.021 E13 45.598	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:00:12 		
Waypoint	WPT006		User Waypoint	N56 08.984 E13 45.579	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:00:58 		
Waypoint	WPT007		User Waypoint	N56 08.953 E13 45.561	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:01:38 		
Waypoint	WPT008		User Waypoint	N56 08.930 E13 45.547	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:02:06 		
Waypoint	WPT009		User Waypoint	N56 08.913 E13 45.543	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:02:27 		
Waypoint	WPT010		User Waypoint	N56 08.882 E13 45.531	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:03:04 		
Waypoint	WPT011		User Waypoint	N56 08.856 E13 45.529	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:03:35 		
Waypoint	WPT012		User Waypoint	N56 08.838 E13 45.526	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:04:02 		
Waypoint	WPT013		User Waypoint	N56 08.838 E13 45.526	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:04:11 		
Waypoint	WPT014		User Waypoint	N56 08.837 E13 45.518	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:04:16 		
Waypoint	WPT015		User Waypoint	N56 08.827 E13 45.490	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:04:39 		
Waypoint	WPT016		User Waypoint	N56 08.820 E13 45.465	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:04:59 		
Waypoint	WPT017		User Waypoint	N56 08.797 E13 45.444	47 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:05:33 		
Waypoint	WPT018		User Waypoint	N56 08.773 E13 45.431	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:06:04 		
Waypoint	WPT019		User Waypoint	N56 08.742 E13 45.414	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:06:46 		
Waypoint	WPT020		User Waypoint	N56 08.727 E13 45.414	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:07:07 		
Waypoint	WPT021		User Waypoint	N56 08.721 E13 45.437	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:07:26 		
Waypoint	WPT022		User Waypoint	N56 08.718 E13 45.447	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:07:35 		
Waypoint	WPT023		User Waypoint	N56 08.697 E13 45.451	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:08:03 		
Waypoint	WPT024		User Waypoint	N56 08.680 E13 45.468	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:08:28 		
Waypoint	WPT025		User Waypoint	N56 08.667 E13 45.520	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:09:08 		
Waypoint	WPT026		User Waypoint	N56 08.671 E13 45.540	42 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:09:23 		
Waypoint	WPT027		User Waypoint	N56 08.667 E13 45.553	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:09:35 		
Waypoint	WPT028		User Waypoint	N56 08.648 E13 45.549	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:09:58 		
Waypoint	WPT029		User Waypoint	N56 08.612 E13 45.541	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:10:40 		
Waypoint	WPT030		User Waypoint	N56 08.587 E13 45.513	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:11:14 		
Waypoint	WPT031		User Waypoint	N56 08.565 E13 45.481	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:11:49 		
Waypoint	WPT032		User Waypoint	N56 08.531 E13 45.453	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:12:34 		
Waypoint	WPT033		User Waypoint	N56 08.529 E13 45.453	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:12:53 		
Waypoint	WPT034		User Waypoint	N56 08.528 E13 45.450	48 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:13:21 		
Waypoint	WPT035		User Waypoint	N56 08.505 E13 45.436	50 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:13:51 		
Waypoint	WPT036		User Waypoint	N56 08.487 E13 45.427	49 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:14:17 		
Waypoint	WPT037		User Waypoint	N56 08.462 E13 45.405	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:14:51 		
Waypoint	WPT038		User Waypoint	N56 08.444 E13 45.381	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:15:19 		
Waypoint	WPT039		User Waypoint	N56 08.428 E13 45.361	46 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:15:54 		
Waypoint	WPT040		User Waypoint	N56 08.424 E13 45.356	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 16:16:13 		
