No,Swiss-East,Swiss-North,Name,Symbol,Date,Time
1,1,1,"001","Golf Course",2008/08/23,15:41:29
2,600351,200193,"Bern","City (Medium)",2008/08/23,15:37:18
3,648179,47105,"Biella","City (Small)",2008/08/23,15:37:12
4,665373,63755,"Borgosesia","City (Small)",2008/08/23,15:37:15
5,666495,212472,"Luzern","City (Medium)",2008/08/23,15:37:57
6,572102,104690,"Martigny-Ville","City (Small)",2008/08/23,15:37:08
7,561285,205205,"Neuchatel","City (Small)",2008/08/23,15:37:21
8,559178,171936,"Romont","City (Small)",2008/08/23,15:36:44
9,618842,170605,"Spiez","City (Small)",2008/08/23,15:36:48
10,698235,261546,"Winterthur","City (Medium)",2008/08/23,15:37:40
11,682958,247645,"Zurich","City (Large)",2008/08/23,15:37:36
