No,Latitude,Longitude,Altitude,Speed,Date,Time
1,40.781704,-73.960901,58.2,0.00,2013/04/30,14:23:57
2,40.781705,-73.960900,58.2,0.00,2013/04/30,14:23:58
3,40.781705,-73.960899,58.2,0.00,2013/04/30,14:23:59
4,40.781705,-73.960898,58.2,0.00,2013/04/30,14:24:00
5,40.781705,-73.960897,57.0,0.00,2013/04/30,14:24:01
6,40.781707,-73.960897,57.0,0.00,2013/04/30,14:24:02
7,40.781709,-73.960896,57.0,0.00,2013/04/30,14:24:03
8,40.781710,-73.960896,57.0,0.00,2013/04/30,14:24:04
9,40.781710,-73.960895,57.0,0.00,2013/04/30,14:24:05
10,40.781709,-73.960894,57.0,0.00,2013/04/30,14:24:06
11,40.781709,-73.960893,57.0,0.00,2013/04/30,14:24:07
12,40.781708,-73.960892,57.0,0.00,2013/04/30,14:24:08
13,40.781707,-73.960891,57.0,0.00,2013/04/30,14:24:09
14,40.781707,-73.960889,57.0,0.00,2013/04/30,14:24:10
15,40.781707,-73.960888,57.0,0.00,2013/04/30,14:24:11
16,40.781707,-73.960887,57.0,0.00,2013/04/30,14:24:12
17,40.781707,-73.960886,57.0,0.00,2013/04/30,14:24:13
18,40.781711,-73.960878,57.0,0.91,2013/04/30,14:24:14
19,40.781722,-73.960868,57.0,1.57,2013/04/30,14:24:15
20,40.781738,-73.960854,57.0,2.14,2013/04/30,14:24:16
21,40.781755,-73.960837,57.0,2.11,2013/04/30,14:24:17
22,40.781774,-73.960817,57.0,2.55,2013/04/30,14:24:18
23,40.781794,-73.960797,57.0,2.95,2013/04/30,14:24:19
24,40.781817,-73.960774,57.0,3.01,2013/04/30,14:24:20
25,40.781843,-73.960754,57.0,3.69,2013/04/30,14:24:21
26,40.781875,-73.960727,57.0,3.53,2013/04/30,14:24:22
27,40.781904,-73.960699,57.0,4.02,2013/04/30,14:24:23
28,40.781933,-73.960668,57.0,4.01,2013/04/30,14:24:24
29,40.781963,-73.960636,57.0,4.23,2013/04/30,14:24:25
30,40.781995,-73.960609,57.0,4.31,2013/04/30,14:24:26
31,40.782031,-73.960581,57.0,4.49,2013/04/30,14:24:27
32,40.782068,-73.960550,57.0,4.42,2013/04/30,14:24:28
33,40.782103,-73.960521,57.0,4.46,2013/04/30,14:24:29
34,40.782138,-73.960494,57.0,4.28,2013/04/30,14:24:30
35,40.782173,-73.960467,57.0,4.61,2013/04/30,14:24:31
36,40.782213,-73.960436,57.0,4.69,2013/04/30,14:24:32
37,40.782247,-73.960409,57.0,4.54,2013/04/30,14:24:33
38,40.782286,-73.960376,57.0,4.72,2013/04/30,14:24:34
39,40.782324,-73.960344,57.0,4.76,2013/04/30,14:24:35
40,40.782361,-73.960315,57.0,4.89,2013/04/30,14:24:36
41,40.782404,-73.960284,57.0,5.00,2013/04/30,14:24:37
42,40.782447,-73.960252,57.0,5.33,2013/04/30,14:24:38
