Index	Lat			Lon			Icon	Name	Description	Notes	URL	Link Text	Altitude (m)	Distance (km)	Speed (m/s)	Course (°)	Time	HDOP	VDOP	PDOP	Satellites	Fix
0	48.557327	N	48° 33.439600' N	8.961583	E	8° 57.695000' E		RPT001	RPT001		""		395.000000	0.000000	1.900000	-999.000000	38559.408669	0.800000	1.200000	1.500000	10	3d
1	48.557327	N	48° 33.439600' N	8.961585	E	8° 57.695100' E		RPT002	RPT002		""		395.000000	0.000134	0.500000	-999.000000	38559.408692	0.800000	1.200000	1.500000	9	3d
2	48.557353	N	48° 33.441200' N	8.961542	E	8° 57.692500' E		RPT003	RPT003		""		395.000000	0.004495	1.200000	-999.000000	38559.408715	0.900000	1.300000	1.600000	10	3d
3	48.557388	N	48° 33.443300' N	8.961457	E	8° 57.687400' E		RPT004	RPT004		""		395.000000	0.011870	3.500000	-999.000000	38559.408738	0.900000	1.300000	1.600000	9	3d
4	48.557395	N	48° 33.443700' N	8.961412	E	8° 57.684700' E		RPT005	RPT005		""		395.000000	0.015268	3.700000	-999.000000	38559.408750	0.900000	1.300000	1.600000	10	3d
5	48.557390	N	48° 33.443400' N	8.961370	E	8° 57.682200' E		RPT006	RPT006		""		395.000000	0.018388	3.000000	-999.000000	38559.408762	0.800000	1.200000	1.500000	10	3d
6	48.557360	N	48° 33.441600' N	8.961295	E	8° 57.677700' E		RPT007	RPT007		""		395.000000	0.024845	3.300000	-999.000000	38559.408785	0.900000	1.400000	1.700000	9	3d
7	48.557350	N	48° 33.441000' N	8.961223	E	8° 57.673400' E		RPT008	RPT008		""		395.000000	0.030242	2.600000	-999.000000	38559.408808	0.800000	1.200000	1.500000	10	3d
8	48.557385	N	48° 33.443100' N	8.961148	E	8° 57.668900' E		RPT009	RPT009		""		396.000000	0.037004	2.400000	-999.000000	38559.408843	1.000000	1.600000	1.900000	9	3d
9	48.557427	N	48° 33.445600' N	8.961158	E	8° 57.669500' E		RPT010	RPT010		""		395.000000	0.041700	1.800000	-999.000000	38559.408866	0.800000	1.200000	1.500000	10	3d
10	48.557473	N	48° 33.448400' N	8.961232	E	8° 57.673900' E		RPT011	RPT011		""		396.000000	0.049196	3.200000	-999.000000	38559.408889	0.800000	1.200000	1.500000	10	3d
11	48.557523	N	48° 33.451400' N	8.961327	E	8° 57.679600' E		RPT012	RPT012		""		396.000000	0.058138	4.300000	-999.000000	38559.408912	1.000000	1.600000	1.900000	9	3d
12	48.557547	N	48° 33.452800' N	8.961410	E	8° 57.684600' E		RPT013	RPT013		""		396.000000	0.064805	3.000000	-999.000000	38559.408935	0.800000	1.200000	1.500000	10	3d
