No,Latitude,Longitude,Name
1,30.062183,-91.610350,"RPT001"
2,30.062783,-91.610567,"RPT002"
3,30.062700,-91.608267,"RPT003"
4,30.062333,-91.607383,"RPT004"
5,30.061533,-91.605283,"RPT005"
6,30.059783,-91.599400,"RPT006"
7,30.057800,-91.596683,"RPT007"
8,30.055383,-91.594900,"RPT008"
9,30.053883,-91.592617,"RPT009"
10,30.049733,-91.589750,"RPT010"
11,30.049017,-91.589883,"RPT011"
12,30.048800,-91.592933,"RPT012"
13,30.046233,-91.596450,"RPT013"
14,30.045517,-91.598717,"RPT014"
15,30.047300,-91.600267,"RPT015"
16,30.047000,-91.599633,"RPT016"
17,30.046433,-91.599467,"RPT017"
18,30.046200,-91.598950,"RPT018"
19,30.046367,-91.597733,"RPT019"
20,30.046350,-91.597167,"RPT020"
21,30.046783,-91.596333,"RPT021"
22,30.047450,-91.595200,"RPT022"
23,30.047800,-91.594767,"RPT023"
24,30.048250,-91.594083,"RPT024"
25,30.048683,-91.593800,"RPT025"
26,30.049350,-91.593850,"RPT026"
27,30.050317,-91.593983,"RPT027"
28,30.050783,-91.594117,"RPT028"
29,30.051233,-91.594367,"RPT029"
30,30.051800,-91.594367,"RPT030"
31,30.052217,-91.594667,"RPT031"
32,30.053017,-91.594683,"RPT032"
33,30.054867,-91.595200,"RPT033"
34,30.053733,-91.594933,"RPT034"
35,30.053183,-91.594783,"RPT035"
36,30.052633,-91.594833,"RPT036"
37,30.052450,-91.595433,"RPT037"
38,30.052483,-91.595967,"RPT038"
39,30.052650,-91.596783,"RPT039"
40,30.053133,-91.597850,"RPT040"
41,30.053617,-91.597967,"RPT041"
42,30.053967,-91.597767,"RPT042"
43,30.053617,-91.598083,"RPT043"
44,30.053200,-91.597917,"RPT044"
45,30.052817,-91.597517,"RPT045"
46,30.052567,-91.596933,"RPT046"
47,30.052333,-91.596433,"RPT047"
48,30.052250,-91.595683,"RPT048"
49,30.052217,-91.595017,"RPT049"
50,30.051883,-91.594700,"RPT050"
51,30.051050,-91.594400,"RPT051"
52,30.050567,-91.594233,"RPT052"
53,30.050183,-91.594100,"RPT053"
54,30.049100,-91.593717,"RPT054"
55,30.048450,-91.594250,"RPT055"
56,30.048083,-91.594750,"RPT056"
57,30.047500,-91.595450,"RPT057"
58,30.047067,-91.596000,"RPT058"
59,30.046633,-91.596600,"RPT059"
60,30.046400,-91.597650,"RPT060"
61,30.046233,-91.598467,"RPT061"
62,30.046317,-91.598967,"RPT062"
63,30.046783,-91.599283,"RPT063"
64,30.047133,-91.599667,"RPT064"
